,Name,Price,Rate,Img_path
0,Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Silver,"جنيه 7,799.00",4.5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/058994/1.jpg?8082
1,Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Black,"جنيه 7,799.00",4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/188644/1.jpg?5288
2,Samsung A24 6.5 Inch 128GB/8GB Dual SIM Mobile Phone – Black,"جنيه 8,440.00",4.9,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/505554/1.jpg?9984
3,realme Buds T100 Bluetooth 5.3 - IPX5 Water Resistant - Black,"جنيه 1,049.90",4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/022593/1.jpg?3924
4,realme سماعة اذن لاسلكية ريلمي بادز T100 بميكروفون، اسود,"جنيه 1,199.00",4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/487204/1.jpg?4244
5,XIAOMI باور بانك شاومى 10000 مللى امبير - أسود,جنيه 749.90,4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/047112/1.jpg?1244
6,120W 6A Fast Charging Cable - Zinc Alloy 3.3ft USB To Type C USB Silicone,جنيه 85.00,3.6,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/545994/1.jpg?1773
7,Iku S5 Dual SIM Mobile Phone – Gray,جنيه 630.00,,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/387593/1.jpg?8318
8,Nokia Nokia نوكيا 105 موبايل ثنائي الشريحة 1.8 بوصة - أسود,جنيه 600.00,3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/577294/1.jpg?8123
9,Mi Redmi Buds 4 Lite Wireless Earphones - Black,جنيه 799.90,3.8,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/278454/1.jpg?6904
10,Huawei AM115 Earphones w/ Mic - White,جنيه 289.90,4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/592981/1.jpg?0395
11,realme Realme C53 - 6.74 Inch 128GB-6GB Dual SIM Mobile Phone - Mighty Black,"جنيه 6,999.00",3.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/918674/1.jpg?5103
12,"Mi Redmi Smart Band 2 Bluetooth - 1.47"" TFT Display - Black",جنيه 999.90,4.1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/568044/1.jpg?4566
13,Iku S3 Dual SIM Mobile Phone – Gray,جنيه 515.00,1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/387593/1.jpg?8316
14,ساعة سمارت T5S,جنيه 437.00,4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/018784/1.jpg?8404
15,Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Silver,"جنيه 9,199.00",4.5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/278454/1.jpg?6903
16,ساعة ذكية HK9 Ultra 2 AMOLED مع ChatGPT-أسود,"جنيه 1,599.00",2.5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/677294/1.jpg?9324
17,x8 ساعه ذكيه الترا بلص مرتبطه بالايفون والاندرويد قفل للأستيك - أكبر شاشه الترا وأكثر دقه بديل للابل,"جنيه 1,299.00",4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/773483/1.jpg?0024
18,T800 Ultra Smart Watch 49mm - Wireless Charging - Orange,جنيه 515.00,2.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/310094/1.jpg?8064
19,Vidvie كابل شحن سريع- كابل داتا،(وصلة شحن)يو إس بي -النوع تايب سي إلى يو إس بي - (3.1 أمبير شحن سريع) أصلى من فيدفى لموبايل:(سامسونج)-(أوبو)-(هواى)-(شاومى)،(كمبيوتر)،وجميع الهواتف التى تدعم تايب سى,جنيه 79.00,4.2,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/275703/1.jpg?0078
20,ساعة سمارت M4 -باند,جنيه 219.00,4.5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/820094/1.jpg?9287
21,Samsung Galaxy A14 - 6.6-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Black,"جنيه 6,899.00",4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/560234/1.jpg?3536
22,Iku S5 Dual SIM Mobile Phone – Green,جنيه 630.00,5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/387593/1.jpg?8318
23,Mi Redmi Buds 4 Lite Wireless Earphones - White,جنيه 799.90,4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/278454/1.jpg?6904
24,Oraimo FreePods Lite - OTW-330 True Wireless Earbuds - Phantom Black,جنيه 629.90,4.8,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/890705/1.jpg?3525
25,realme 11 Pro Plus 6.7inch 512GB/12GB Dual SIM Mobile Phone - Sunrise Beige,"جنيه 19,160.00",1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/856094/1.jpg?0585
26,P47 Wireless Headphones - Black,جنيه 175.00,4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/510081/1.jpg?1271
27,JOYROOM JR-T012 10000mAh Power Bank - Black,جنيه 488.00,4.2,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/310372/1.jpg?7589
28,Vidvie كابل ،(وصلة شحن) يو إس بي النوع ميكرو الى يو إس بي - (3.1أمبير شحن سريع) أصلى من فيدفى لموبايل:(سامسونج)-(نوكيا)-(أوبو)-(هواى)-(شاومى)وجميع الهواتف التى تدعم ميكرو,جنيه 79.00,4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/668993/1.jpg?5985
29,Mi Redmi Smart Watch 3 Active - Bluetooth® phone Call - Black,"جنيه 2,299.90",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/577294/1.jpg?8363
30,سماعة بلوتوث لاسلكية ايربودز M10 مزودة بباور بانك,جنيه 283.00,5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/328884/1.jpg?8899
31,XIAOMI Redmi 12C - 6.71-inch 4GB/128GB Dual Sim 4G Mobile Phone - Graphite Gray,"جنيه 5,499.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/992014/1.jpg?2587
32,Iku A6 Dual Sim Slate Gray 1GB RAM 32GB 3G,"جنيه 1,899.00",,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/615683/1.jpg?8914
33,JBL JBL Tune 510BT Wireless On-Ear Headphones - Black,"جنيه 2,633.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/593323/1.jpg?9444
34,"Vidvie كابل أيفون سريع(3.1 أمبير)-كابل داتا ,(وصلة شحن) ,أيفون إلى يو أس بى،عالية الجودة",جنيه 79.00,4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/181944/1.jpg?6206
35,"HK 10 PRO MAX Smart Watch Ultra Amoled Display And Chat-GPT , Iphone, Android-Black","جنيه 1,825.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/461484/1.jpg?1857
36,Wireless Headset M28 With Charge Case Power-Black,جنيه 244.00,3.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/752484/1.jpg?5943
37,Nokia نوكيا 105 موبايل ثنائي الشريحة 1.8 بوصة - أسود,جنيه 599.00,4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/885013/1.jpg?2522
38,Pzx باور بنك معدني 20000 مللي أمبير ومخرجين يو اس بي - ذهبي,جنيه 455.00,4.8,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/253271/1.jpg?3647
39,سماعة رأس لاسلكية للالعاب ، رأس على شكل اذن قطة باضاءة ليد، رأس بلوتوث ستيريو مضيئة، للاطفال والبالغين),جنيه 217.50,4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/456483/1.jpg?4888
